ID	Category	CommonRules	JapanImplementation
ibr-S-01	Tax calculations	An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-20) or a Document level charge (ibg-21) where the VAT category code (ibt-151, ibt-95 or ibt-102) is “Standard rated” shall contain in the VAT breakdown (ibg-23) at least one VAT category code (ibt-118) equal with "Standard rated".	
ibr-S-02	Tax calculations	An Invoice that contains an Invoice line (ibg-25) where the Invoiced item VAT category code (ibt-151) is “Standard rated” shall contain the Seller VAT Identifier (ibt-31), the Seller tax registration identifier (ibt-32) and/or the Seller tax representative VAT identifier (ibt-63).	
ibr-S-03	Tax calculations	An Invoice that contains a Document level allowance (ibg-20) where the Document level allowance VAT category code (ibt-95) is “Standard rated” shall contain the Seller VAT Identifier (ibt-31), the Seller tax registration identifier (ibt-32) and/or the Seller tax representative VAT identifier (ibt-63).	
ibr-S-04	Tax calculations	An Invoice that contains a Document level charge (ibg-21) where the Document level charge VAT category code (ibt-102) is “Standard rated” shall contain the Seller VAT Identifier (ibt-31), the Seller tax registration identifier (ibt-32) and/or the Seller tax representative VAT identifier (ibt-63).	
ibr-S-05	Tax calculations	In an Invoice line (ibg-25) where the Invoiced item VAT category code (ibt-151) is "Standard rated" the Invoiced item VAT rate (ibt-152) shall be greater than zero.  	
ibr-S-06	Tax calculations	In a Document level allowance (ibg-20) where the Document level allowance VAT category code (ibt-95) is "Standard rated" the Document level allowance VAT rate (ibt-96) shall be greater than zero.	
ibr-S-07	Tax calculations	In a Document level charge (ibg-21) where the Document level charge VAT category code (ibt-102) is "Standard rated" the Document level charge VAT rate (ibt-103) shall be greater than zero. 	
ibr-S-08	Tax calculations	For each different value of VAT category rate (ibt-119) where the VAT category code (ibt-118) is "Standard rated", the tax category taxable amount (ibt-116) in a VAT breakdown (ibg-23) shall equal the sum of Invoice line net amounts (ibt-131) plus the sum of document level charge amounts (ibt-99) minus the sum of document level allowance amounts (ibt-92) where the VAT category code (ibt-151, ibt-102, ibt-95) is “Standard rated” and the VAT rate (ibt-152, ibt-103, ibt-96) equals the VAT category rate (ibt-119).	
ibr-S-09	Tax calculations	The VAT category tax amount (ibt-117) in a VAT breakdown (ibg-23) where VAT category code (ibt-118) is "Standard rated" shall equal the tax category taxable amount (ibt-116) multiplied by the VAT category rate (ibt-119).	
ibr-S-10	Tax calculations	A VAT breakdown (ibg-23) with VAT Category code (ibt-118) "Standard rate" shall not have a VAT exemption reason code (ibt-121) or VAT exemption reason text (ibt-120).  	
