SemSort	ID	Section	PINT Cardinality	Aligned	Aligned Cardinality	Level	BT	BT_ja	DT	Desc	Desc_ja	Explanation	Explanation\ja	Example Value (値の例)	Synt Sort	element	UBLdatatype	UBL syntax binding XPath	selectors	Code list	UBL Occurrence	CardinalityAlignment
1010	ibg-00	Shared	1..1		1..1	0	Invoice	デジタルインボイス		Commercial invoice	請求書				1010	ubl:Invoice	InvoiceType	/Invoice			1..1	
1290	ibt-024	Shared	1..1		1..1	2	Specification identifier	仕様ID	Identifier	"An identification of the specification containing the total set of rules regarding semantic content	 cardinalities and business rules to which the data contained in the instance document conforms."	取引プロセスのID。セマンティックコンテンツ、カーディナリティや、インスタンス文書に含まれているデータが準拠すべきビジネスルールに関するルール一式を含む、仕様を識別する。	OpenPEPPOL/PINT-JP　issue#9\n●The Japan invoice PINT/DDTS compliant identifiers are as follows:\nCustomization/Specification ID: urn:peppol:pint:billing-3.0@jp:peppol-1\n●When using the PINT in Busdox the identifiers are as follows:\nCustomization/Specification ID: urn:fdc:peppol:jp:billing:3.0	JP PINT 0.9.1では、誤って\n[aligned-ibrp-002-jp]-Business process MUST be in the format 'urn:fdc:peppol.eu:2017:poacc:billing:01:1.0'.\nとなっている。Nobu	urn:fdc:peppol:jp:billing:3.0	1020	cbc:CustomizationID	udt:IdentifierType	/Invoice/cbc:CustomizationID			0..1	CAR-2
1280	ibt-023	Shared	1..1		1..1	2	Business process type	ビジネスプロセスタイプ	Text	"Identifies the business process context in which the transaction appears	 to enable the Buyer to process the Invoice in an appropriate way."	取引プロセスの名称。買い手が適切な方法で請求書を処理することができるように、取引が行われたビジネスプロセスを識別する。	OpenPEPPOL/PINT-JP　issue#9\n●The Japan invoice PINT/DDTS compliant identifiers are as follows:\nProfile ID/Business Process type: urn:peppol:bis:billing\n●When using the PINT in Busdox the identifiers are as follows:\nProfile ID/Business Process type: urn:peppol:bis:billing		 urn:peppol:bis:billing	1030	cbc:ProfileID	udt:IdentifierType	/Invoice/cbc:ProfileID			0..1	CAR-2
1010	ibt-001	Shared	1..1		1..1	1	Invoice number	請求書番号	Identifier	A unique identification of the Invoice.	請求書の一意識別番号。		売り手が付番した請求書を一意に識別する番号または文字列。	12345678	1040	cbc:ID	udt:IdentifierType	/Invoice/cbc:ID			1..1	
1020	ibt-002	Shared	1..1		1..1	1	Invoice issue date	請求書発行日	Date	The date when the Invoice was issued.	請求書の発行日付。	The date is described in the Christian era and is YYYY-MM-DD. 	日付表示は西暦表示で、YYYY-MM-DD となる。	2023-12-01	1050	cbc:IssueDate	udt:DateType	/Invoice/cbc:IssueDate			1..1	
1030	ibt-168	Shared	0..1		0..1	1	Invoice issue time	請求書発行時刻	Time	The time of day when an invoice was issued	請求書の発行時刻。				1060	cbc:IssueTime	udt:TimeType	/Invoice/cbc:IssueTime			0..1	
1090	ibt-009	Shared	0..1		0..1	1	Payment due date	支払期日	Date	The date when the payment is due.	支払条件で示された支払期日。	The date is described in the Christian era and is YYYY-MM-DD. 	日付表示は西暦表示で、YYYY-MM-DD となる。	2024-01-31	1070	cbc:DueDate	udt:DateType	/Invoice/cbc:DueDate			0..1	
1040	ibt-003	Shared	1..1		1..1	1	Invoice type code	請求書タイプコード	Code	A code specifying the functional type of the Invoice.	この文書のタイプを識別するコード。請求書の機能を特定するためのコード。	"80	Debit note related to goods or services\n82	Metered services invoice\n84	Debit note related to financial adjustments\n380	Commercial invoice\n383	Debit note\n386	Prepayment invoice\n393	Factored invoice\n395	Consignment invoice\n575	Insurer's invoice\n623	Forwarder's invoice\n780	Freight invoice"	適格請求書は380	380	1080	cbc:InvoiceTypeCode	udt:CodeType	/Invoice/cbc:InvoiceTypeCode		UNCL11-inv	0..1	CAR-2
1260	ibt-022	Shared	0..1		0..1	1	Invoice note	請求書注釈内容	Text	A textual note that gives unstructured information that is relevant to the Invoice as a whole.	注釈の内容を入力するフリースペース。				1090	cbc:Note	udt:TextType	/Invoice/cbc:Note			0..n	CAR-3
1070	ibt-007	Aligned	0..1		0..1	1	TAX point date	課税基準日	Date	"The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice	 according to the TAX directive."		The date is described in the Christian era and is YYYY-MM-DD. \n	日付表示は西暦表示で、YYYY-MM-DD となる。		1100	cbc:TaxPointDate	udt:DateType	/Invoice/cbc:TaxPointDate			0..1	
1050	ibt-005	Shared	1..1		1..1	1	Invoice currency code	請求書通貨コード	Code	"The currency in which all Invoice amounts are given	 except for the Total TAX amount in accounting currency."	請求書に記載された通貨を表すコード。会計通貨での請求書消費税合計金額を除き、請求書に記載されている全て金額の表示の通貨コード。	The currency code must be the one listed in the ISO 4217 Currency codes. 	通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。	JPY	1110	cbc:DocumentCurrencyCode	udt:CodeType	/Invoice/cbc:DocumentCurrencyCode		ISO4217	0..1	CAR-2
1060	ibt-006	Aligned	0..1		0..1	1	Tax accounting currency	税会計報告用通貨コード	Code	The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.	会計報告や税務報告に使用する通貨を表すコード。売り手の国で認められたもしくは要求された会計報告や税務報告に使用する通貨を表すコード。	The currency code must be the one listed in the ISO 4217 Currency codes. 	通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。		1120	cbc:TaxCurrencyCode	udt:CodeType	/Invoice/cbc:TaxCurrencyCode		ISO4217	0..1	
1200	ibt-019	Shared	0..1		0..1	1	Buyer accounting reference	買い手会計参照	Text	A textual value that specifies where to book the relevant data into the Buyer’s financial accounts.	買い手の財務勘定科目に関連データを記帳する場所を指定する。買い手のどの勘定に関連データを記帳すべきかを指定するためのテキスト値。				1130	cbc:AccountingCost	udt:TextType	/Invoice/cbc:AccountingCost			0..1	
1100	ibt-010	Shared	0..1		0..1	1	Buyer reference	買い手参照	Text	An identifier assigned by the Buyer used for internal routing purposes.	買い手によって割り当てられたIDで、買い手の請求書精算業務の処理ワークフローで使用する。			abc-123	1140	cbc:BuyerReference	udt:TextType	/Invoice/cbc:BuyerReference			0..1	
2010	ibg-14	Shared	0..1		0..1	2	INVOICING PERIOD	請求期間		A group of business terms providing information on the invoice period.	請求期間に関わる情報を提供するビジネス用語のグループ。				1150	cac:InvoicePeriod	cac:PeriodType	/Invoice/cac:InvoicePeriod			0..n	CAR-3
2020	ibt-073	Shared	0..1		0..1	3	Invoicing period start date	請求期間開始日	Date	The date when the Invoice period starts.	請求期間開始日。	The date is described in the Christian era and is YYYY-MM-DD. 	日付表示は西暦表示で、YYYY-MM-DD となる。	2023-11-01	1160	cbc:StartDate	udt:DateType	/Invoice/cac:InvoicePeriod/cbc:StartDate			0..1	
2030	ibt-074	Shared	0..1		0..1	3	Invoicing period end date	請求期間終了日	Date	The date when the Invoice period ends.	請求期間終了日。	The date is described in the Christian era and is YYYY-MM-DD. 	日付表示は西暦表示で、YYYY-MM-DD となる。	2023-11-30	1170	cbc:EndDate	udt:DateType	/Invoice/cac:InvoicePeriod/cbc:EndDate			0..1	
1080	ibt-008	Aligned	0..1		0..1	1	TAX point date code	課税基準日コード	Code	The code of the date when the TAX becomes accountable for the Seller and for the Buyer.	売り手、買い手が税を記帳する日付が何であるかを示すコード。	"The TAX point date code must be the one listed in the UNCL2005 subset. \n3 Invoice document issue date time \n35 Delivery date/time	 actual\n432 Paid to date"	"VAT date code (UNCL2005 subset) から選択する。\n3 Invoice document issue date time (請求書発行日付時刻)\n35 Delivery date/time	 actual (実際納入日付時刻)\n432 Paid to date (支払日)"	3	1180	cbc:DescriptionCode	udt:CodeType	/Invoice/cac:InvoicePeriod/cbc:DescriptionCode		UNCL25	0..n	CAR-3
															1190	cac:OrderReference	cac:OrderReferenceType	/Invoice/cac:OrderReference			0..1	
1130	ibt-013	Shared	0..1		0..1	1	Purchase order reference	購買発注参照	Document Reference	"An identifier of a referenced purchase order	 issued by the Buyer."	買い手が発行した購買発注を参照する場合の当該購買発注に記載の文書番号。			AA-123-BB	1200	cbc:ID	udt:IdentifierType	/Invoice/cac:OrderReference/cbc:ID			1..1	
1140	ibt-014	Shared	0..1		0..1	1	Sales order reference	受注参照	Document Reference	An identifier of a referenced sales order issued by the Seller.	売り手が発行した受注を参照する場合の当該受注に記載の文書番号。				1210	cbc:SalesOrderID	udt:IdentifierType	/Invoice/cac:OrderReference/cbc:SalesOrderID			0..1	
1300	ibg-03	Shared	0..n		0..n	1	PRECEDING INVOICE REFERENCE	先行請求書への参照		A group of business terms providing information on one or more preceding Invoices.	1つのあるいはそれ以上の先行請求書に関する情報を提供するビジネス用語のグループ。				1220	cac:BillingReference	cac:BillingReferenceType	/Invoice/cac:BillingReference			0..n	
															1230	cac:InvoiceDocumentReference	cac:DocumentReferenceType	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference			0..1	
1310	ibt-025	Shared	1..1		1..1	2	Preceding Invoice reference	先行請求書への参照	Document Reference	The identification of an Invoice that was previously sent by the Seller.	売り手が以前に送付した請求書番号。				1240	cbc:ID	udt:IdentifierType	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID			1..1	
1320	ibt-026	Shared	0..1		0..1	2	Preceding Invoice issue date	先行請求書発行日	Date	The date when the Preceding Invoice was issued.	先行請求書の発行日。	The date is described in the Christian era and is YYYY-MM-DD. 	日付表示は西暦表示で、YYYY-MM-DD となる。		1250	cbc:IssueDate	udt:DateType	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate			0..1	
															1260	cac:DespatchDocumentReference	cac:DocumentReferenceType	/Invoice/cac:DespatchDocumentReference			0..n	CAR-3
1160	ibt-016	Shared	0..1		0..1	1	Despatch advice reference	出荷案内書(納品書)参照	Document Reference	An identifier of a referenced despatch advice.	参照する出荷案内書に売り手が付番した番号。				1270	cbc:ID	udt:IdentifierType	/Invoice/cac:DespatchDocumentReference/cbc:ID			1..1	CAR-3
															1280	cac:ReceiptDocumentReference	cac:DocumentReferenceType	/Invoice/cac:ReceiptDocumentReference			0..n	CAR-3
