SemSort	ID	Section	PINT Cardinality	Aligned	Aligned Cardinality	Level	BT	BTja	DT	Desc	Descja			Example Value ()	Synt Sort	element	UBLdatatype	UBL syntax binding XPath	selectors	Code list	UBL Occurrence	CardinalityAlignment
1010	ibg-00	Shared	1..1		1..1	0	Invoice			Commercial invoice					1010	ubl:Invoice	InvoiceType	/Invoice			1..1	
1010	ibt-001	Shared	1..1		1..1	1	Invoice number		Identifier	A unique identification of the Invoice.				12345678	1040	cbc:ID	udt:IdentifierType	/Invoice/cbc:ID			1..1	
1020	ibt-002	Shared	1..1		1..1	1	Invoice issue date		Date	The date when the Invoice was issued.		The date is described in the Christian era and is YYYY-MM-DD. 	YYYY-MM-DD 	2023/12/01	1050	cbc:IssueDate	udt:DateType	/Invoice/cbc:IssueDate			1..1	
1030	ibt-168	Shared	0..1		0..1	1	Invoice issue time		Time	The time of day when an invoice was issued					1060	cbc:IssueTime	udt:TimeType	/Invoice/cbc:IssueTime			0..1	
1040	ibt-003	Shared	1..1		1..1	1	Invoice type code		Code	A code specifying the functional type of the Invoice.		"80	Debit note related to goods or services
82	Metered services invoice
84	Debit note related to financial adjustments
380	Commercial invoice
383	Debit note
386	Prepayment invoice
393	Factored invoice
395	Consignment invoice
575	Insurer's invoice
623	Forwarder's invoice
780	Freight invoice"	380	380	1080	cbc:InvoiceTypeCode	udt:CodeType	/Invoice/cbc:InvoiceTypeCode		UNCL11-inv	0..1	CAR-2
1050	ibt-005	Shared	1..1		1..1	1	Invoice currency code		Code	"The currency in which all Invoice amounts are given, except for the Total TAX amount in accounting currency."		The currency code must be the one listed in the ISO 4217 Currency codes. 	ISO 4217 Currency codes 	JPY	1110	cbc:DocumentCurrencyCode	udt:CodeType	/Invoice/cbc:DocumentCurrencyCode		ISO4217	0..1	CAR-2
1060	ibt-006	Aligned	0..1		0..1	1	Tax accounting currency		Code	The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.		The currency code must be the one listed in the ISO 4217 Currency codes. 	ISO 4217 Currency codes 		1120	cbc:TaxCurrencyCode	udt:CodeType	/Invoice/cbc:TaxCurrencyCode		ISO4217	0..1	
1070	ibt-007	Aligned	0..1		0..1	1	TAX point date		Date	"The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the TAX directive."		"The date is described in the Christian era and is YYYY-MM-DD. 
"	YYYY-MM-DD 		1100	cbc:TaxPointDate	udt:DateType	/Invoice/cbc:TaxPointDate			0..1	
1080	ibt-008	Aligned	0..1		0..1	1	TAX point date code		Code	The code of the date when the TAX becomes accountable for the Seller and for the Buyer.		"The TAX point date code must be the one listed in the UNCL2005 subset. 
3 Invoice document issue date time 
35 Delivery date/time, actual
432 Paid to date"	"VAT date code (UNCL2005 subset) 
3 Invoice document issue date time ()
35 Delivery date/time, actual ()
432 Paid to date ()"	3	1180	cbc:DescriptionCode	udt:CodeType	/Invoice/cac:InvoicePeriod/cbc:DescriptionCode		UNCL25	0..n	CAR-3
1090	ibt-009	Shared	0..1		0..1	1	Payment due date		Date	The date when the payment is due.		The date is described in the Christian era and is YYYY-MM-DD. 	YYYY-MM-DD 	2024/01/31	1070	cbc:DueDate	udt:DateType	/Invoice/cbc:DueDate			0..1	
1100	ibt-010	Shared	0..1		0..1	1	Buyer reference		Text	An identifier assigned by the Buyer used for internal routing purposes.	ID			abc-123	1140	cbc:BuyerReference	udt:TextType	/Invoice/cbc:BuyerReference			0..1	
1110	ibt-011	Shared	0..1		0..1	1	Project reference		Document Reference	The identification of the project the invoice refers to			ID		1480	cbc:ID	udt:IdentifierType	/Invoice/cac:ProjectReference/cbc:ID			1..1	CAR-3
1120	ibt-012	Shared	0..1		0..1	1	Contract reference		Document Reference	The identification of a contract.					1330	cbc:ID	udt:IdentifierType	/Invoice/cac:ContractDocumentReference/cbc:ID			1..1	CAR-3
1130	ibt-013	Shared	0..1		0..1	1	Purchase order reference		Document Reference	"An identifier of a referenced purchase order, issued by the Buyer."				AA-123-BB	1200	cbc:ID	udt:IdentifierType	/Invoice/cac:OrderReference/cbc:ID			1..1	
1140	ibt-014	Shared	0..1		0..1	1	Sales order reference		Document Reference	An identifier of a referenced sales order issued by the Seller.					1210	cbc:SalesOrderID	udt:IdentifierType	/Invoice/cac:OrderReference/cbc:SalesOrderID			0..1	
1150	ibt-015	Shared	0..1		0..1	1	Receiving advice reference	()	Document Reference	An identifier of a referenced receiving advice.					1290	cbc:ID	udt:IdentifierType	/Invoice/cac:ReceiptDocumentReference/cbc:ID			1..1	CAR-3
1160	ibt-016	Shared	0..1		0..1	1	Despatch advice reference	()	Document Reference	An identifier of a referenced despatch advice.					1270	cbc:ID	udt:IdentifierType	/Invoice/cac:DespatchDocumentReference/cbc:ID			1..1	CAR-3
1170	ibt-017	Shared	0..1		0..1	1	Tender or lot reference		Document Reference	The identification of the call for tender or lot the invoice relates to.					1310	cbc:ID	udt:IdentifierType	/Invoice/cac:OriginatorDocumentReference/cbc:ID			1..1	CAR-3
1180	ibt-018	Shared	0..1		0..1	1	Invoiced object identifier	ID	Identifier	"An identifier for an object on which the invoice is based, given by the Seller."	IDID				1350	cbc:ID	udt:IdentifierType	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID			1..1	CAR-3
1190	ibt-018-1	Shared	0..1		0..1	1	The identification scheme identifier of the Invoiced object identifier.	IDID		"If it may be not clear for the receiver what scheme is used for the identifier, a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries."	IDUNTDID1153ID				1360	@schemeID	xsd:normalizedString	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID		UNCL1153	0..1	
1200	ibt-019	Shared	0..1		0..1	1	Buyer accounting reference		Text	A textual value that specifies where to book the relevant data into the Buyer's financial accounts.					1130	cbc:AccountingCost	udt:TextType	/Invoice/cbc:AccountingCost			0..1	
1215	ibg-33	Aligned	0..n		0..n	1	INVOICE TERMS			Information about the terms that apply to the settlement of the invoice amount.					2900	cac:PaymentTerms	cac:PaymentTermsType	/Invoice/cac:PaymentTerms			0..n	
1220	ibt-187	Aligned	0..1		0..1	2	Terms payment instructions ID	ID	Identifier	The payment instructions that apply to these payment terms.					2910	cbc:PaymentMeansID	udt:IdentifierType	/Invoice/cac:PaymentTerms/cbc:PaymentMeansID			0..n	CAR-3
1230	ibt-020	Shared	0..1		0..1	2	Payment terms		Text	A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).	()	"Common description in English 
PIA - Payment in advance 
Net 30 - Payment 30 days after invoice date 
EOM - End of month 
21 MFI - 21st of the month following invoice date 
1% 10 Net 30 - 1% discount if payment received within ten days otherwise payment 30 days after invoice date 
COD - Cash on delivery 
1MD - Monthly credit payment of a full month's supply 
etc.  source: https://examples.yourdictionary.com/payment-terms-examples.html 
The information to show ""Who bears bank charge"" can be also putas textual payment terms. nobu"	" PIA, Net 30,EOM,21 MFI,1% 10 Net 30,COD,1MD,etc. 
"		2920	cbc:Note	udt:TextType	/Invoice/cac:PaymentTerms/cbc:Note			0..n	CAR-3
