name,Cardinality,DataType,AssociatedObjectClass,cyclic,Definition,Examples
cac:ActivityDataLine,,,,,A class to associate a time period and locations (activity data) with an item for inventory planning purposes.,
cbc:ID,1,IdentifierType,,,An identifier for this activity data line.,
cbc:SupplyChainActivityTypeCode,1,CodeType,,,A code signifying the type of supply chain activity.,
cac:BuyerCustomerParty,0..1,,CustomerParty,,The buyer of the item.,
cac:SellerSupplierParty,0..1,,SupplierParty,,The seller of the item.,
cac:ActivityPeriod,0..1,,Period,,The period during which the activity is realized.,
cac:ActivityOriginLocation,1,,Location,,Either the location where the movement of goods is observed or the location from which the goods are moved.,
cac:ActivityFinalLocation,0..1,,Location,,The location to which the goods are moved.,
cac:SalesItem,1..n,,SalesItem,,Sales information for an item to which this line applies.,
cac:ActivityProperty,,,,,A class to define a name/value pair for a property of an inventory planning activity.,
cbc:Name,1,NameType,,,The name of this activity property.,
cbc:Value,1,TextType,,,The value of this activity property.,
cac:Address,,,,,A class to define common information related to an address.,
cbc:ID,0..1,IdentifierType,,,An identifier for this address within an agreed scheme of address identifiers.,
cbc:AddressTypeCode,0..1,CodeType,,,A mutually agreed code signifying the type of this address.,
cbc:AddressFormatCode,0..1,CodeType,,,A mutually agreed code signifying the format of this address.,
cbc:Postbox,0..1,TextType,,,A post office box number registered for postal delivery by a postal service provider.,123 
cbc:Floor,0..1,TextType,,,An identifiable floor of a building.,30 
cbc:Room,0..1,TextType,,,"An identifiable room, suite, or apartment of a building.",Reception 
cbc:StreetName,0..1,NameType,,,"The name of the street, road, avenue, way, etc. to which the number of the building is attached.",Kwun Tong Road 
cbc:AdditionalStreetName,0..1,NameType,,,An additional street name used to further clarify the address.,Cnr Aberdeen Road 
cbc:BlockName,0..1,NameType,,,The name of the block (an area surrounded by streets and usually containing several buildings) in which this address is located.,Seabird
cbc:BuildingName,0..1,NameType,,,The name of a building.,Plot 421 
cbc:BuildingNumber,0..1,TextType,,,The number of a building within the street.,388 
cbc:InhouseMail,0..1,TextType,,,The specific identifable location within a building where mail is delivered.,
cbc:Department,0..1,TextType,,,The department of the addressee.,Accounts Payable 
cbc:MarkAttention,0..1,TextType,,,"The name, expressed as text, of a person or department in an organization to whose attention incoming mail is directed; corresponds to the printed forms ""for the attention of"", ""FAO"", and ATTN:"".",
cbc:MarkCare,0..1,TextType,,,"The name, expressed as text, of a person or organization at this address into whose care incoming mail is entrusted; corresponds to the printed forms ""care of"" and ""c/o"".",
cbc:PlotIdentification,0..1,TextType,,,"An identifier (e.g., a parcel number) for the piece of land associated with this address.",
cbc:CitySubdivisionName,0..1,NameType,,,"The name of the subdivision of a city, town, or village in which this address is located, such as the name of its district or borough.",
cbc:CityName,0..1,NameType,,,"The name of a city, town, or village.",Hong Kong 
cbc:PostalZone,0..1,TextType,,,"The postal identifier for this address according to the relevant national postal service, such as a ZIP code or Post Code.",SW11 4EW 2500 GG 
cbc:CountrySubentity,0..1,TextType,,,"The political or administrative division of a country in which this address is located, such as the name of its county, province, or state, expressed as text.","Florida , Tamilnadu "
cbc:CountrySubentityCode,0..1,CodeType,,,"The political or administrative division of a country in which this address is located, such as a county, province, or state, expressed as a code (typically nationally agreed).",
cbc:Region,0..1,TextType,,,The recognized geographic or economic region or group of countries in which this address is located.,European Union 
cbc:District,0..1,TextType,,,The district or geographical division of a country or region in which this address is located.,East Coast 
cbc:TimezoneOffset,0..1,TextType,,,The time zone in which this address is located (as an offset from Universal Coordinated Time (UTC)) at the time of exchange.,+8:00 -3:00 
cac:AddressLine,0..n,,AddressLine,,An unstructured address line.,
cac:Country,0..1,,Country,,The country in which this address is situated.,
cac:LocationCoordinate,0..n,,LocationCoordinate,,The geographical coordinates of this address.,
cac:AddressLine,,,,,A class to define an unstructured address line.,
cbc:Line,1,TextType,,,An address line expressed as unstructured text.,123 Standard Chartered Tower 
cac:AirTransport,,,,,A class to identify a specific aircraft used for transportation.,
cbc:AircraftID,1,IdentifierType,,,An identifer for a specific aircraft.,
cac:AllowanceCharge,,,,,A class to describe information about a charge or discount as applied to a price component.,
cbc:ID,0..1,IdentifierType,,,An identifier for this allowance or charge.,
cbc:ChargeIndicator,1,IndicatorType,,,An indicator that this AllowanceCharge describes a charge (true) or a discount (false).,1
cbc:AllowanceChargeReasonCode,0..1,CodeType,,,A mutually agreed code signifying the reason for this allowance or charge.,
cbc:AllowanceChargeReason,0..n,TextType,,,The reason for this allowance or charge.,
cbc:MultiplierFactorNumeric,0..1,NumericType,,,A number by which the base amount is multiplied to calculate the actual amount of this allowance or charge.,0.20
cbc:PrepaidIndicator,0..1,IndicatorType,,,An indicator that this allowance or charge is prepaid (true) or not (false).,1
cbc:SequenceNumeric,0..1,NumericType,,,A number indicating the order of this allowance or charge in the sequence of calculations applied when there are multiple allowances or charges.,3
cbc:Amount,1,AmountType,,,The monetary amount of this allowance or charge to be applied.,
cbc:BaseAmount,0..1,AmountType,,,The monetary amount to which the multiplier factor is applied in calculating the amount of this allowance or charge.,
cbc:AccountingCostCode,0..1,CodeType,,,"The accounting cost centre used by the buyer to account for this allowance or charge, expressed as a code.",
cbc:AccountingCost,0..1,TextType,,,"The accounting cost centre used by the buyer to account for this allowance or charge, expressed as text.",
cbc:PerUnitAmount,0..1,AmountType,,,"The allowance or charge per item; the total allowance or charge is calculated by multiplying the per unit amount by the quantity of items, either at the level of the individual transaction line or for the total number of items in the document, depending on the context in which it appears.",
