[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/invoiceTerm, role = http://www.xbrl.jp/peppol/invoice, source element = pint:ibg-00, target element = pint:ibg-33
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/preceedingInvoiceReference, role = http://www.xbrl.jp/peppol/invoice, source element = pint:ibg-00, target element = pint:ibg-03
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/paidAmounts, role = http://www.xbrl.jp/peppol/invoice, source element = pint:ibg-00, target element = pint:ibg-35
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/documentAllowance, role = http://www.xbrl.jp/peppol/invoice, source element = pint:ibg-00, target element = pint:ibg-20
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/documentCharge, role = http://www.xbrl.jp/peppol/invoice, source element = pint:ibg-00, target element = pint:ibg-21
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/taxCategory, role = http://www.xbrl.jp/peppol/invoice, source element = pint:ibg-00, target element = pint:ibg-23
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/lineAllowance, role = http://www.xbrl.jp/peppol/invoice/Line, source element = pint:ibg-25, target element = pint:ibg-27
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/lineCharge, role = http://www.xbrl.jp/peppol/invoice/Line, source element = pint:ibg-25, target element = pint:ibg-28
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/lineTaxInformation, role = http://www.xbrl.jp/peppol/invoice/Line, source element = pint:ibg-25, target element = pint:ibg-30
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/lineAllowance, role = http://www.xbrl.jp/peppol/invoice/Line, source element = pint:ibg-25, target element = pint:ibg-27
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/lineCharge, role = http://www.xbrl.jp/peppol/invoice/Line, source element = pint:ibg-25, target element = pint:ibg-28
[WARNING] fje:ConsecutiveRelationshipNotFoundWarning : The consecutive arc does not exist in the extended link indicated in the xbrldt:targetRole attribute. : targetRole = http://www.xbrl.jp/peppol/invoice/lineTaxInformation, role = http://www.xbrl.jp/peppol/invoice/Line, source element = pint:ibg-25, target element = pint:ibg-30
